161219B 21.1760912591 0.630605672661
161117A 21.8750612634 0.466382320703
161014A 22.1760912591 0.839547150127
160425A 22.0413926852 0.654917392994
160410A 10.123851641 0.124786434126
160314A 11.8981764835 0.797352970782
160203A 22.0413926852 0.813585715579
160117B 20.9523080097 0.761239717629
151031A 21.9867717343 0.577784490741
151029A 21.531478917 0.806884885762
151027B 22.6127838567 0.614443508296
151021A 22.3424226808 0.483360910363
150915A 21.0413926852 0.707217763473
150910A 21.0413926852 0.763357021485
150821A 22.3424226808 0.419881293207
150727A 16.6757783417 0.819066199211
150403A 21.7558748557 0.478020189959
150301B 16.8881794939 0.72326003094
141109A 22.3010299957 0.438569983347
140614A 15.7379873263 0.559210301395
140506A 21.8260748027 0.477577738285
140301A 21.9242792861 0.568248493366
131117A 22.3010299957 0.68549803976
131105A 22.278753601 0.192852440123
131103A 22.1139433523 0.681497483159
131030A 21.6232492904 0.669138608173
130701A 21.2041199827 0.684574309672
130612A 22.0413926852 0.578839819494
130606A 22.0 0.85806351675
130603B 21.6434526765 0.667317024082
130427B 21.2552725051 0.834053864139
130427A 21.1139433523 0.412347383042
130418A 21.2552725051 0.859892257184
121201A 21.4471580313 0.666259147402
121027A 22.278753601 0.687519907028
121024A 22.0413926852 0.561546581336
120909A 22.3979400087 0.265520597364
120714B 15.367355921 0.751654843732
120712A 22.1461280357 0.815024434449
120422A 15.4842998393 0.797534632365
120404A 21.806179974 0.950271363922
120119A 22.1139433523 0.694388566261
111228A 21.5440680444 0.654376620545
111209A 21.361727836 0.706858575241
111107A 18.0293837777 0.76254002729
111008A 22.3802112417 0.516828743276
110818A 22.2041199827 0.538846293977
110808A 13.3404441148 0.682943317569
110128A 16.4456042033 0.673722506575
100816A 21.3802112417 0.827736228104
100814A 21.1139433523 0.488058508605
100728B 21.7993405495 0.789565649431
100621A 22.4471580313 0.312905020253
100425A 17.206825876 0.746303159955
100418A 16.5301996982 1.05016112616
100316D 21.7075701761 0.666903772312
100316B 21.4471580313 0.850103583046
100219A 16.5538830266 0.44965783478
091127 21.1139433523 0.710321717752
091018 21.3802112417 0.724019585324
