090313       45     21.6    3.3736 
090530       20     22      1.266 
090809       10.2   21      2.737  
090926       22     17.9    2.1062 
091018       3.5     19.1    0.9710
091127       101     21.2    0.490 
100219     12.5      23     4.667 
100316      0.7     18.2    1.18  
100418      8.4     18.1    0.6235 
100425      4.0     20.6    1.755  
100724      0.2     20.0    1.288
100728       22      23     2.106  
100814      0.8      19     1.44   
100901      66       20.2   1.408  
101219     11.6      20     0.5519 
110128      5.5     22.5    2.339  
110715     12.3     18.5    0.82   
110808      3.0     21.2    1.3488 
110818      6.2     22.3    3.36   
111008      8.5     21      4.9898 
111107      5.3     21.5    2.893  
111209     17.7     20.1    0.677   
111211      31      19.5    0.478   
111228     15.9     20.1    0.716   
120119      1.4      17     1.728   
120211      10.      30.    2.346
120327      2.1      18.8   2.815  
120404     15.7      21.3   2.876  
120422     17.2      22.0   0.283  
120712     10.4      21.5   4.175  
120714      7.8      22.1   0.398  
120716      62       20.9   2.486  
120815      1.7      20     2.358  
120909      1.7      21     3.929  
121024      1.8      20     2.300 
121027      69      21.1    1.773 
121201     12.9      23     3.385 
121229      2.0     21.5    2.707 
130408      1.9      20     3.758 
130418      4.6      18.5   1.218 
130427     16.5      19     0.340 
130427     20.3      22.7   2.780 
130603      8.2      21.5   0.356 
130606      7.1      19     5.91  
130612      1.1      21.5   2.006 
130701      5.5      19.9   1.155 
