GRB,Date-Obs,Follow-up delay,Acquisition mag,z,HI,HI_err,Exptime,Slit width,Airmass,Ambient Seeing,In Sample,RRM,Short,XRT flux,XRT flux density,Intervening systems,,,,
GRB120815A,2012-08-15T03:55:21.630,1.69,18.9,2.358,21.95,0.1,2.4/2.4/2.4,1.0/0.9/0.9,1.3--1.4,0.7,No,No,No,1.09E-11,0.73524,"2.3378,2.0122,1.9999,1.,1.6927,1.5398,1.5382",,,,
GRB120909A,2012-09-09T03:24:08.812,1.7,21,3.929,21.7,0.1,1.2/1.2/1.2,1.0/0.9/0.9,1.6--1.6,1.6,Yes,Yes,No,2.65E-11,1.79678,nan,,,,
GRB120923A,2012-09-23T23:57:22.186 ,18.5,>24,7.84,,,9.6/9.6/9.6,1.0/0.9/0.9JH,1.2--1.4,1.0,Yes,No,No,1.26E-14,0.00082532,nan,,,,
GRB121024A,2012-10-24T04:46:53.654,1.8,20,2.3,21.84,0.1,2.4/2.4/2.4,1.0/0.9/0.9,1.2--1.1,,Yes,No,No,6.49E-12,0.441527,"2.0799,1.9564,1.9581,1.9238,1.6642",,,,
GRB121027A,2012-10-30T04:51:47.229,69.4,21.15,1.773,22.6,0.03,8.4/8.4/8.4,1.0/0.9/0.9,1.3--1.3,1.3,Yes,No,No,8.97E-13,0.0569312,nan,,,,
GRB121201A,2012-12-02T01:17:50.840,12.9,23,3.385,22.0,0.3,4.8/4.8/4.8,1.0/0.9/0.9JH,1.1--1.1,1.1,Yes,No,No,1.93E-13,0.0122421,nan,,,,
GRB121209A,2012-12-13T01:08:37.825,75.15,>24,,,,1.2/1.2/1.2,1.0/0.9/0.9,2.2-2.5,0.6,No,No,No,,,1.658,,,,
GRB121229A,2012-12-29T07:41:26.011,2,21.5,2.707,21.7,0.1,4.8/4.8/4.8,1.0/0.9/0.9JH,1.4--1.2,1.5,No,No,No,4.46E-13,0.0298586,nan,,,,
GRB130131B,2013-03-09T04:59:10.127,874.1,>24,2.539,,,7.2/7.2/7.2,1.0/0.9/0.9JH,1.3--1.6,1.1,Yes,No,No,,,nan,,,,
GRB130408A,2013-04-08T23:46:48.204,1.9,20,3.758,21.78,0.1,1.2/1.2/1.2,1.0/0.9/0.9,1.0--1.0,0.9,No,No,No,1.50E-11,1.02268,"3.1154,3.0157,2.898,2.37734,2.37905,1.25949",,,,
GRB130418A,2013-04-18T23:35:00.900 ,4.6,18.5,1.222,,,1.2/1.2/1.2,1.0/0.9/0.9,1.4--1.3,1.2,Yes,No,No,2.61E-12,0.168853,nan,,,,
GRB130427A,2013-04-28T00:22:54.845,16.5,19,0.34,,,1.2/1.2/1.2,1.0/0.9/0.9JH,1.8--1.8,0.8,Yes,No,No,5.38E-11,3.57908,nan,,,,
GRB130427B,2013-04-28T09:48:38.542,20.3,22.7,2.78,21.9,0.3,1.2/1.2/1.2,1.0/0.9/0.9JH,1.2--1.0,1.0,Yes,No,No,6.46E-14,0.00432141,nan,,,,
GRB130603B,2013-06-04T00:00:28.462,8.2,21.5,0.356,,,2.4/2.4/2.4,1.0/0.9/0.9,1.4--1.4,1.1,Yes,No,Yes,7.25E-13,0.0483335,nan,,,,
GRB130606A,2013-06-07T04:09:08.026,7.1,19,5.91,19.94,0.01,4.2/4.2/4.2,1.0/0.9/0.9JH,1.7--1.9,0.9,Yes,No,No,1.60E-12,0.10808,"4.7244,4.6497,4.5427,4.5309,4.4660,3.4515,2.5207,2.3103",,,,
GRB130612A,2013-06-12T04:28:46.673,1.1,21.5,2.006,22,0.3,1.2/1.2/1.2,1.0/0.9/0.9,1.3--1.3,1.5,Yes,No,No,1.45E-12,0.0968238,nan,,,,
GRB130615A,2013-06-15T10:33:09.382,0.8,21,2.9,,,1.2/1.2/1.2,1.0/0.9/0.9,2.1--2.2,1.0,Yes,No,No,1.53E-12,0.103609,nan,,,,
